id,symbol,date,open,low,high,close,volume
4846586,SPY,2024-01-02 04:30:00,472.23,471.36,472.80,472.67,17740685
4846585,SPY,2024-01-02 05:30:00,472.10,471.30,472.45,471.52,8464123
4846584,SPY,2024-01-02 06:30:00,473.01,472.27,473.36,472.60,8703957
4846583,SPY,2024-01-02 07:30:00,472.74,472.28,473.67,473.22,7394613
4846582,SPY,2024-01-02 08:30:00,471.64,471.55,472.96,472.81,9946207
4846581,SPY,2024-01-02 09:30:00,470.88,470.49,472.06,471.72,13640038
4846580,SPY,2024-01-02 10:30:00,472.60,470.67,473.00,470.92,47244867
4846579,SPY,2024-01-03 04:30:00,469.45,469.22,470.96,470.16,17949263
4846578,SPY,2024-01-03 05:30:00,469.55,468.71,469.93,469.38,14067856
4846577,SPY,2024-01-03 06:30:00,469.19,468.97,469.83,469.63,7616562
4846576,SPY,2024-01-03 07:30:00,470.37,469.42,470.77,469.65,6375659
4846575,SPY,2024-01-03 08:30:00,469.95,468.95,471.19,470.08,11787209
4846574,SPY,2024-01-03 09:30:00,469.17,468.97,471.18,470.76,12079048
4846573,SPY,2024-01-03 10:30:00,468.68,468.17,469.80,469.71,30078615
4846572,SPY,2024-01-04 04:30:00,469.77,468.11,470.15,468.85,11714651
4846571,SPY,2024-01-04 05:30:00,470.86,469.62,470.96,469.85,5975614
4846570,SPY,2024-01-04 06:30:00,469.50,469.26,470.82,470.47,6137860
4846569,SPY,2024-01-04 07:30:00,469.22,468.67,469.62,469.21,4749383
4846568,SPY,2024-01-04 08:30:00,468.61,468.51,469.47,469.33,7022817
4846567,SPY,2024-01-04 09:30:00,468.23,468.07,469.04,468.60,11811383
4846566,SPY,2024-01-04 10:30:00,467.52,467.05,468.68,468.51,33104311
4846565,SPY,2024-01-05 04:30:00,469.74,467.13,470.42,468.07,15638497
4846564,SPY,2024-01-05 05:30:00,469.37,469.05,470.44,469.92,9241722
4846563,SPY,2024-01-05 06:30:00,469.22,467.24,469.40,468.89,10320503
4846562,SPY,2024-01-05 07:30:00,467.18,466.68,467.90,467.20,9917615
4846561,SPY,2024-01-05 08:30:00,468.38,467.85,468.98,468.17,6499648
4846560,SPY,2024-01-05 09:30:00,466.93,466.50,468.49,468.25,10134124
4846559,SPY,2024-01-05 10:30:00,468.08,466.43,468.47,466.82,18815857
4846558,SPY,2024-01-08 04:30:00,469.79,468.30,470.02,469.08,12580511
4846557,SPY,2024-01-08 05:30:00,470.38,469.96,470.75,470.42,7714603
4846556,SPY,2024-01-08 06:30:00,470.73,470.37,471.25,470.52,7068503
4846555,SPY,2024-01-08 07:30:00,471.60,470.68,471.72,471.01,4777677
4846554,SPY,2024-01-08 08:30:00,472.57,471.36,473.02,471.52,6741249
4846553,SPY,2024-01-08 09:30:00,473.90,472.98,474.00,473.24,10714242
4846552,SPY,2024-01-08 10:30:00,474.47,470.34,474.75,473.87,22645325
4846551,SPY,2024-01-09 04:30:00,472.77,471.35,472.95,472.08,13020086
4846550,SPY,2024-01-09 05:30:00,473.33,472.16,473.34,472.65,8060410
4846549,SPY,2024-01-09 06:30:00,474.22,473.08,474.38,473.47,5918779
4846548,SPY,2024-01-09 07:30:00,473.96,473.76,474.93,474.12,5192599
4846547,SPY,2024-01-09 08:30:00,473.78,473.15,474.67,473.29,7002611
4846546,SPY,2024-01-09 09:30:00,473.72,473.19,474.25,473.87,6075632
4846545,SPY,2024-01-09 10:30:00,473.70,471.55,474.20,473.67,17636040
4846544,SPY,2024-01-10 04:30:00,474.31,473.87,475.34,474.81,9227849
4846543,SPY,2024-01-10 05:30:00,474.84,474.43,475.28,474.85,6585071
4846542,SPY,2024-01-10 06:30:00,475.14,474.48,475.18,474.65,4659150
4846541,SPY,2024-01-10 07:30:00,475.40,474.81,475.93,475.19,6341303
4846540,SPY,2024-01-10 08:30:00,476.66,475.23,476.83,475.63,6882809
4846539,SPY,2024-01-10 09:30:00,476.01,475.89,477.45,476.69,11215715
4846538,SPY,2024-01-10 10:30:00,476.65,475.18,476.84,476.46,18406225
4846537,SPY,2024-01-11 04:30:00,474.73,473.57,478.12,477.67,14455496
4846536,SPY,2024-01-11 05:30:00,473.16,472.52,475.57,474.41,10100119
4846535,SPY,2024-01-11 06:30:00,473.36,472.26,473.62,472.79,9033455
4846534,SPY,2024-01-11 07:30:00,474.90,472.96,475.04,473.20,8047163
4846533,SPY,2024-01-11 08:30:00,475.54,474.61,476.23,474.83,8400846
4846532,SPY,2024-01-11 09:30:00,475.96,475.47,476.98,476.08,8003798
4846531,SPY,2024-01-11 10:30:00,476.20,475.54,476.70,476.25,13866029
4846530,SPY,2024-01-12 04:30:00,476.60,475.90,478.60,477.97,12967332
4846529,SPY,2024-01-12 05:30:00,476.39,475.23,476.91,476.66,8085544
4846528,SPY,2024-01-12 06:30:00,475.88,475.37,476.82,476.69,5283511
4846527,SPY,2024-01-12 07:30:00,476.53,475.61,476.76,476.01,4370521
4846526,SPY,2024-01-12 08:30:00,476.98,476.49,477.34,476.65,5334430
4846525,SPY,2024-01-12 09:30:00,476.19,475.76,476.93,476.19,6290402
4846524,SPY,2024-01-12 10:30:00,476.29,476.08,477.15,476.44,12800284
7542331,SPY,2024-01-16 04:30:00,476.17,473.47,476.26,475.12,13907981
7542330,SPY,2024-01-16 05:30:00,476.36,474.61,476.61,476.19,12033560
7542329,SPY,2024-01-16 06:30:00,474.91,474.34,476.44,476.37,8339123
7542328,SPY,2024-01-16 07:30:00,474.65,473.83,475.21,474.19,8239173
7542327,SPY,2024-01-16 08:30:00,473.46,473.06,475.20,475.12,9348429
7542326,SPY,2024-01-16 09:30:00,474.17,473.36,474.52,473.76,9610796
7542325,SPY,2024-01-16 10:30:00,475.07,473.78,475.13,473.86,21000725
7542324,SPY,2024-01-17 04:30:00,471.54,471.05,472.26,471.30,15463720
7542323,SPY,2024-01-17 05:30:00,472.74,471.50,472.78,471.87,7602140
7542322,SPY,2024-01-17 06:30:00,471.58,471.41,472.79,472.67,5870957
7542321,SPY,2024-01-17 07:30:00,470.67,470.45,472.04,471.48,6321798
7542320,SPY,2024-01-17 08:30:00,471.24,469.87,471.40,470.44,8235859
7542319,SPY,2024-01-17 09:30:00,470.77,470.67,471.77,471.26,6930268
7542318,SPY,2024-01-17 10:30:00,472.17,470.83,472.61,471.72,15317946
7542317,SPY,2024-01-18 04:30:00,474.04,473.39,474.47,474.23,12392659
7542316,SPY,2024-01-18 05:30:00,474.57,473.66,474.88,474.33,10106488
7542315,SPY,2024-01-18 06:30:00,473.38,473.04,475.03,474.92,9801394
7542314,SPY,2024-01-18 07:30:00,472.72,472.42,474.40,473.12,8704615
7542313,SPY,2024-01-18 08:30:00,475.45,472.70,475.66,473.24,10369612
7542312,SPY,2024-01-18 09:30:00,476.18,474.94,476.41,475.61,12426098
7542311,SPY,2024-01-18 10:30:00,476.60,474.20,477.06,476.39,24450875
7542310,SPY,2024-01-19 04:30:00,477.66,476.94,478.38,477.29,14853955
7542309,SPY,2024-01-19 05:30:00,479.02,477.34,479.28,477.48,17724746
7542308,SPY,2024-01-19 06:30:00,479.12,478.20,479.51,478.62,7718915
7542307,SPY,2024-01-19 07:30:00,480.84,479.28,481.00,479.70,11896589
7542306,SPY,2024-01-19 08:30:00,482.13,480.94,482.72,481.04,13806991
7542305,SPY,2024-01-19 09:30:00,481.88,481.33,482.55,481.71,11234075
7542304,SPY,2024-01-19 10:30:00,482.45,476.54,482.74,482.26,27769196
7542303,SPY,2024-01-22 04:30:00,484.68,483.90,485.22,484.79,15090170
7542302,SPY,2024-01-22 05:30:00,483.96,482.96,484.40,483.98,11822663
7542301,SPY,2024-01-22 06:30:00,483.91,483.19,484.21,484.03,6859211
7542300,SPY,2024-01-22 07:30:00,483.34,482.78,484.04,483.65,6661392
7542299,SPY,2024-01-22 08:30:00,483.39,482.86,484.01,483.15,8367971
7542298,SPY,2024-01-22 09:30:00,483.84,483.27,484.20,483.35,7542095
7542297,SPY,2024-01-22 10:30:00,483.42,483.33,484.19,484.04,16301134
7542296,SPY,2024-01-23 04:30:00,483.61,483.44,484.37,483.61,7816949
7542295,SPY,2024-01-23 05:30:00,483.08,482.92,483.86,483.48,6687604
7542294,SPY,2024-01-23 06:30:00,483.12,482.89,483.55,482.92,4856611
7542293,SPY,2024-01-23 07:30:00,483.79,483.08,483.99,483.16,3853879
7542292,SPY,2024-01-23 08:30:00,483.82,483.56,484.06,483.68,3381261
7542291,SPY,2024-01-23 09:30:00,484.73,483.64,484.95,483.71,7240163
7542290,SPY,2024-01-23 10:30:00,485.24,483.08,485.36,484.53,12820197
7542289,SPY,2024-01-24 04:30:00,487.33,486.41,487.83,487.55,11385091
7542288,SPY,2024-01-24 05:30:00,487.99,487.37,488.61,487.53,9777185
7542287,SPY,2024-01-24 06:30:00,488.17,487.68,488.51,487.77,5485627
7542286,SPY,2024-01-24 07:30:00,487.71,487.44,488.77,488.58,8312044
7542285,SPY,2024-01-24 08:30:00,486.09,485.97,488.05,487.71,9483106
7542284,SPY,2024-01-24 09:30:00,485.81,484.88,487.07,486.12,10243839
7542283,SPY,2024-01-24 10:30:00,484.67,484.41,487.92,485.82,23336451
7542282,SPY,2024-01-25 04:30:00,488.11,486.77,488.31,487.52,10852554
7542281,SPY,2024-01-25 05:30:00,487.51,486.82,488.17,487.59,8454003
7542280,SPY,2024-01-25 06:30:00,487.48,486.41,488.11,487.90,8032838
7542279,SPY,2024-01-25 07:30:00,486.11,486.08,487.31,486.25,8441134
7542278,SPY,2024-01-25 08:30:00,485.84,485.39,486.84,486.09,8899961
7542277,SPY,2024-01-25 09:30:00,486.44,485.79,486.90,486.33,6458015
7542276,SPY,2024-01-25 10:30:00,487.86,486.43,488.14,487.09,18149321
7542275,SPY,2024-01-26 04:30:00,487.81,487.04,488.35,488.10,8453438
7542274,SPY,2024-01-26 05:30:00,488.62,488.06,489.12,488.38,8770563
7542273,SPY,2024-01-26 06:30:00,488.39,488.10,488.88,488.69,6725800
7542272,SPY,2024-01-26 07:30:00,487.34,486.71,488.36,487.92,11082675
7542271,SPY,2024-01-26 08:30:00,487.09,486.54,487.53,487.44,5847127
7542270,SPY,2024-01-26 09:30:00,487.58,486.95,488.15,487.03,7835601
7542269,SPY,2024-01-26 10:30:00,487.30,487.03,487.68,487.36,24416959
7542268,SPY,2024-01-29 04:30:00,487.84,487.40,488.27,488.03,8735881
7542267,SPY,2024-01-29 05:30:00,487.58,487.17,488.02,487.43,5475888
7542266,SPY,2024-01-29 06:30:00,488.31,487.73,488.48,487.80,4274563
7542265,SPY,2024-01-29 07:30:00,488.28,487.84,488.59,488.33,4748830
7542264,SPY,2024-01-29 08:30:00,488.71,488.09,488.91,488.37,4207889
7542263,SPY,2024-01-29 09:30:00,491.03,488.71,491.42,488.89,9730860
7542262,SPY,2024-01-29 10:30:00,491.12,488.44,491.37,491.05,18803502
7542261,SPY,2024-01-30 04:30:00,490.76,490.34,491.36,491.01,9988353
7542260,SPY,2024-01-30 05:30:00,490.92,490.34,491.13,490.82,5690321
7542259,SPY,2024-01-30 06:30:00,490.91,490.53,491.48,491.12,6337111
7542258,SPY,2024-01-30 07:30:00,490.69,490.11,490.95,490.30,6028105
7542257,SPY,2024-01-30 08:30:00,491.17,490.46,491.26,490.98,4418951
7542256,SPY,2024-01-30 09:30:00,491.17,490.95,491.62,491.32,6016792
7542255,SPY,2024-01-30 10:30:00,490.17,489.80,491.44,491.00,14920505
7542254,SPY,2024-01-31 04:30:00,487.32,487.18,489.08,488.86,12752640
7542253,SPY,2024-01-31 05:30:00,487.10,486.39,487.48,486.97,8804314
7542252,SPY,2024-01-31 06:30:00,487.09,486.34,487.41,486.92,5078013
7542251,SPY,2024-01-31 07:30:00,487.11,486.56,487.71,486.99,4786684
7542250,SPY,2024-01-31 08:30:00,485.95,485.63,487.83,487.23,11937970
7542249,SPY,2024-01-31 09:30:00,484.95,483.68,489.00,486.66,27552505
7542248,SPY,2024-01-31 10:30:00,483.04,482.69,487.39,483.85,49667441
7542247,SPY,2024-02-01 04:30:00,485.37,484.26,486.21,485.53,17118220
7542246,SPY,2024-02-01 05:30:00,484.59,483.80,486.21,485.99,11480644
7542245,SPY,2024-02-01 06:30:00,486.74,484.55,487.27,485.20,12208252
7542244,SPY,2024-02-01 07:30:00,487.03,486.21,488.24,486.50,9392043
7542243,SPY,2024-02-01 08:30:00,487.55,486.38,487.95,487.35,7525216
7542242,SPY,2024-02-01 09:30:00,488.59,487.08,488.99,487.11,10013710
7542241,SPY,2024-02-01 10:30:00,488.38,484.44,491.21,489.23,19195794
7542240,SPY,2024-02-02 04:30:00,490.42,489.30,491.34,490.54,14087073
7542239,SPY,2024-02-02 05:30:00,492.19,490.34,493.07,490.86,11652707
7542238,SPY,2024-02-02 06:30:00,493.60,492.92,494.45,493.19,10576507
7542237,SPY,2024-02-02 07:30:00,492.75,492.25,494.66,492.93,12240129
7542236,SPY,2024-02-02 08:30:00,495.06,493.31,495.39,493.75,8473620
7542235,SPY,2024-02-02 09:30:00,495.25,494.90,496.05,495.40,10707584
7542234,SPY,2024-02-02 10:30:00,494.03,492.25,495.91,495.29,22278390
7542233,SPY,2024-02-05 04:30:00,491.11,490.79,493.70,493.44,15924521
7542232,SPY,2024-02-05 05:30:00,491.35,490.23,491.83,491.27,10392245
7542231,SPY,2024-02-05 06:30:00,492.64,491.33,494.38,491.93,7224045
7542230,SPY,2024-02-05 07:30:00,493.00,492.58,493.50,492.95,6154034
7542229,SPY,2024-02-05 08:30:00,493.38,492.58,493.55,492.93,6499581
7542228,SPY,2024-02-05 09:30:00,493.32,492.59,494.17,493.81,8274814
7542227,SPY,2024-02-05 10:30:00,492.37,491.47,493.95,493.86,18937090
7542226,SPY,2024-02-06 04:30:00,492.36,492.05,494.32,493.78,12329936
7542225,SPY,2024-02-06 05:30:00,493.34,492.40,493.43,492.83,7057275
7542224,SPY,2024-02-06 06:30:00,492.27,492.10,493.41,493.23,6118439
7542223,SPY,2024-02-06 07:30:00,492.53,492.41,493.08,492.69,4516967
7542222,SPY,2024-02-06 08:30:00,493.52,492.11,493.57,492.41,6709949
7542221,SPY,2024-02-06 09:30:00,493.09,492.24,493.54,492.70,7199135
7542220,SPY,2024-02-06 10:30:00,493.55,492.27,494.08,492.85,9825453
7542219,SPY,2024-02-07 04:30:00,497.43,495.36,497.98,496.07,12696194
7542218,SPY,2024-02-07 05:30:00,496.92,496.83,498.04,497.77,11184960
7542217,SPY,2024-02-07 06:30:00,497.42,496.87,497.86,496.97,5737017
7542216,SPY,2024-02-07 07:30:00,497.83,496.79,498.21,497.15,8030055
7542215,SPY,2024-02-07 08:30:00,498.10,497.66,498.43,498.14,5868145
7542214,SPY,2024-02-07 09:30:00,498.23,497.79,498.53,497.90,7089385
7542213,SPY,2024-02-07 10:30:00,497.94,497.61,498.27,498.04,16645905
7542212,SPY,2024-02-08 04:30:00,497.72,497.63,498.35,497.98,5972782
7542211,SPY,2024-02-08 05:30:00,497.69,497.31,498.21,497.88,6561756
7542210,SPY,2024-02-08 06:30:00,497.88,497.26,498.14,497.64,4617119
7542209,SPY,2024-02-08 07:30:00,497.85,497.42,498.28,498.00,4898764
7542208,SPY,2024-02-08 08:30:00,497.85,497.78,498.34,498.07,5277458
7542207,SPY,2024-02-08 09:30:00,498.49,497.58,498.59,497.80,6723566
7542206,SPY,2024-02-08 10:30:00,498.32,497.69,498.71,498.40,16018461
7542205,SPY,2024-02-09 04:30:00,499.51,498.49,499.79,499.01,8986520
7542204,SPY,2024-02-09 05:30:00,499.81,499.52,500.21,499.78,7341323
7542203,SPY,2024-02-09 06:30:00,499.87,499.32,500.16,499.59,5787609
7542202,SPY,2024-02-09 07:30:00,500.60,499.68,500.83,500.14,7115733
7542201,SPY,2024-02-09 08:30:00,500.99,500.48,501.15,500.89,6517087
7542200,SPY,2024-02-09 09:30:00,501.16,500.80,501.65,501.16,6971724
7542199,SPY,2024-02-09 10:30:00,501.03,499.57,501.34,500.88,18073273
7542198,SPY,2024-02-12 04:30:00,501.23,501.02,501.47,501.32,5600859
7542197,SPY,2024-02-12 05:30:00,502.72,501.31,502.95,501.48,5840538
7542196,SPY,2024-02-12 06:30:00,502.89,502.69,503.50,503.43,5453199
7542195,SPY,2024-02-12 07:30:00,502.94,502.51,503.44,502.92,3992948
7542194,SPY,2024-02-12 08:30:00,500.98,500.24,502.61,502.37,8360711
7542193,SPY,2024-02-12 09:30:00,500.90,500.42,501.30,501.03,5439121
7542192,SPY,2024-02-12 10:30:00,500.19,500.02,501.24,500.97,18314016
7542191,SPY,2024-02-13 04:30:00,494.21,493.22,495.19,494.87,18911780
7542190,SPY,2024-02-13 05:30:00,495.52,494.52,495.74,494.87,11075485
7542189,SPY,2024-02-13 06:30:00,494.83,494.40,495.85,495.53,7930147
7542188,SPY,2024-02-13 07:30:00,494.15,494.02,495.31,495.14,5925420
7542187,SPY,2024-02-13 08:30:00,493.59,491.79,494.30,494.05,11686676
7542186,SPY,2024-02-13 09:30:00,490.89,490.72,492.95,492.71,15501428
7542185,SPY,2024-02-13 10:30:00,494.12,490.98,494.27,491.84,34597000
7542184,SPY,2024-02-14 04:30:00,497.83,495.78,497.99,496.66,12047437
7542183,SPY,2024-02-14 05:30:00,496.28,495.15,497.91,497.65,8526905
7542182,SPY,2024-02-14 06:30:00,495.62,494.40,496.33,496.13,7132098
7542181,SPY,2024-02-14 07:30:00,495.73,495.42,496.57,496.18,5266117
7542180,SPY,2024-02-14 08:30:00,496.29,495.22,497.14,496.46,7642989
7542179,SPY,2024-02-14 09:30:00,497.66,496.44,498.21,496.75,10276907
7542178,SPY,2024-02-14 10:30:00,499.12,497.47,499.23,497.64,14429073
7542177,SPY,2024-02-15 04:30:00,500.41,499.27,500.57,499.85,8555086
7542176,SPY,2024-02-15 05:30:00,499.29,498.80,499.99,499.58,6533412
7542175,SPY,2024-02-15 06:30:00,500.24,499.35,500.45,499.47,6569776
7542174,SPY,2024-02-15 07:30:00,501.26,499.95,501.49,500.41,6709079
7542173,SPY,2024-02-15 08:30:00,501.60,500.91,501.78,501.44,6870854
7542172,SPY,2024-02-15 09:30:00,501.21,501.17,502.20,501.71,6877100
7542171,SPY,2024-02-15 10:30:00,501.97,501.15,502.43,502.35,16677954
7542170,SPY,2024-02-16 04:30:00,501.70,498.75,501.91,500.24,9941676
7542169,SPY,2024-02-16 05:30:00,500.25,499.81,502.05,501.89,7530679
7542168,SPY,2024-02-16 06:30:00,501.88,501.63,502.46,502.22,15087737
7542167,SPY,2024-02-16 07:30:00,502.22,500.74,502.30,501.66,6347266
7542166,SPY,2024-02-16 08:30:00,501.67,501.60,502.87,502.61,6204549
