id,symbol,date,open,low,high,close,volume,rsi
1062286,TSLA,2024-02-15 10:30:00,201.33,198.81,201.8,199.36,14757186,83.25180085704595
1062289,TSLA,2024-02-15 09:30:00,198.34,197.57,198.9,198.25,11759135,81.60451465895349
1062291,TSLA,2024-02-15 08:30:00,197.89,197.05,198.75,197.96,14018775,81.17826984352571
1062293,TSLA,2024-02-15 07:30:00,198.06,195.51,198.33,196.52,15167078,78.96252871594211
1062295,TSLA,2024-02-15 06:30:00,195.92,193.53,196.33,193.72,12888092,73.50348706590826
1062297,TSLA,2024-02-15 05:30:00,193.15,191.93,195.45,194.38,16887318,77.751892108179
1062299,TSLA,2024-02-15 04:30:00,195.24,188.86,195.76,192.69,29693982,74.30941868872952
1062301,TSLA,2024-02-14 10:30:00,190.17,187.66,194.68,187.97,10782106,57.90901594840487
1062303,TSLA,2024-02-14 09:30:00,187.79,186.66,188.1,187.0,7420591,52.30230133130136
1062305,TSLA,2024-02-14 08:30:00,186.14,185.29,187.47,186.59,8829729,49.73206526598426
1062307,TSLA,2024-02-14 07:30:00,186.28,185.43,186.74,185.93,7491798,45.515176064611204
1062309,TSLA,2024-02-14 06:30:00,185.85,184.91,186.18,185.57,8389742,43.16235305405472
1062311,TSLA,2024-02-14 05:30:00,185.35,183.91,186.48,186.29,11562602,46.76730368155633
1062313,TSLA,2024-02-14 04:30:00,186.52,183.35,187.06,186.18,21957220,46.19771564099091
1062315,TSLA,2024-02-13 10:30:00,184.25,182.4,184.31,184.17,7703604,33.36121454187183
1062317,TSLA,2024-02-13 09:30:00,182.31,182.11,183.47,183.25,8970377,26.14211291709914
1062319,TSLA,2024-02-13 08:30:00,182.8,182.51,184.5,184.31,8970218,29.45210415945681
1062321,TSLA,2024-02-13 07:30:00,184.38,183.08,184.65,183.78,8365693,25.175527742803098
1062323,TSLA,2024-02-13 06:30:00,183.79,183.07,185.34,184.63,9925985,27.601509810343387
1062325,TSLA,2024-02-13 05:30:00,184.71,183.67,185.72,185.0,13096882,28.670345515154338
1062327,TSLA,2024-02-13 04:30:00,184.52,183.25,187.26,184.91,23933011,28.048738301806438
1062329,TSLA,2024-02-12 10:30:00,187.87,187.54,188.78,188.36,6494321,39.919904846839245
1062331,TSLA,2024-02-12 09:30:00,188.31,187.67,189.03,188.32,8273899,39.67816575696767
1062333,TSLA,2024-02-12 08:30:00,188.65,187.28,193.78,188.46,10805865,40.223892401046875
1062335,TSLA,2024-02-12 07:30:00,189.42,188.18,190.15,188.99,10954951,42.277176120710735
1062337,TSLA,2024-02-12 06:30:00,188.37,187.7,191.97,191.74,15337875,55.37048798560197
1062339,TSLA,2024-02-12 05:30:00,191.09,190.38,193.34,192.9,15722804,62.78684786489292
1062341,TSLA,2024-02-12 04:30:00,192.36,191.43,194.73,193.4,23691896,66.15084954624447
1062343,TSLA,2024-02-09 10:30:00,193.8,192.29,193.86,192.45,7401850,62.68198189426111
1062345,TSLA,2024-02-09 09:30:00,192.72,192.18,193.3,192.92,6770748,65.70063430356589
1062347,TSLA,2024-02-09 08:30:00,192.99,192.45,193.25,193.1,6542662,66.79666880571403
1062349,TSLA,2024-02-09 07:30:00,192.94,191.35,193.2,191.74,8792986,62.51318490594389
1062351,TSLA,2024-02-09 06:30:00,192.06,190.51,192.3,191.08,9454842,60.25673253961964
1062353,TSLA,2024-02-09 05:30:00,190.92,190.77,193.74,192.94,15591128,71.05966152248827
1062355,TSLA,2024-02-09 04:30:00,193.22,189.48,194.12,191.7,26654483,67.58046114432872
1062357,TSLA,2024-02-08 10:30:00,189.22,189.11,190.05,189.72,5365897,60.78830214732742
1062359,TSLA,2024-02-08 09:30:00,189.88,188.76,190.21,189.69,6808796,60.69496140622816
1062361,TSLA,2024-02-08 08:30:00,189.57,188.68,190.19,189.29,8010195,59.299832670468845
1062363,TSLA,2024-02-08 07:30:00,188.69,188.52,190.67,189.79,10879743,61.76626923211693
1062365,TSLA,2024-02-08 06:30:00,190.38,190.11,191.62,191.01,11259507,67.94749267724609
1062367,TSLA,2024-02-08 05:30:00,190.98,188.07,191.28,188.79,15994806,61.667278772884416
1062369,TSLA,2024-02-08 04:30:00,187.84,185.58,189.23,186.85,22086328,54.62726289945471
1062371,TSLA,2024-02-07 10:30:00,187.8,187.13,188.83,188.41,7944310,62.978969076801356
1062373,TSLA,2024-02-07 09:30:00,188.63,187.9,189.06,188.66,9574271,64.36797462522293
1062375,TSLA,2024-02-07 08:30:00,188.52,187.75,189.79,189.42,13406586,68.63492542862464
1062377,TSLA,2024-02-07 07:30:00,188.77,186.47,189.45,186.8,12284145,60.59304654730381
1062379,TSLA,2024-02-07 06:30:00,186.67,186.35,187.48,186.92,8644788,61.240465398418316
1062381,TSLA,2024-02-07 05:30:00,186.81,185.59,187.54,186.86,19049776,61.06401213983435
1062383,TSLA,2024-02-07 04:30:00,185.19,182.68,189.22,187.43,35103998,63.67573910077762
1062287,TSLA,2024-04-16 11:30:00,157.32,156.24,157.68,156.97,6864771,29.849531952957292
1062288,TSLA,2024-04-16 10:30:00,155.8,155.69,157.38,157.33,7232350,30.66137537298266
1062290,TSLA,2024-04-16 09:30:00,156.8,155.51,157.83,155.84,10323990,22.84460557586273
1062292,TSLA,2024-04-16 08:30:00,156.87,156.73,157.99,156.75,7450737,24.353693591826058
1062294,TSLA,2024-04-16 07:30:00,158.01,156.38,158.18,156.88,9228649,24.56214627405791
1062296,TSLA,2024-04-16 06:30:00,155.54,154.86,158.19,158.02,14642773,26.343246020924397
1062298,TSLA,2024-04-16 05:30:00,156.74,153.75,157.8,155.56,34251829,14.242552483124541
1062300,TSLA,2024-04-15 11:30:00,161.93,160.2,165.0,160.41,10860485,20.09429636395636
1062302,TSLA,2024-04-15 10:30:00,162.53,161.61,163.35,161.91,11285700,22.687659094303584
1062304,TSLA,2024-04-15 09:30:00,162.98,162.5,163.49,162.53,8908348,23.830026703108672
1062306,TSLA,2024-04-15 08:30:00,164.77,162.89,164.83,162.97,10769224,24.62229307480483
1062308,TSLA,2024-04-15 07:30:00,166.31,164.74,166.94,164.77,9200222,28.06125274057321
1062310,TSLA,2024-04-15 06:30:00,166.1,164.4,166.39,166.3,12788855,31.412269731225138
1062312,TSLA,2024-04-15 05:30:00,170.24,164.64,170.69,166.07,27530382,30.260039197896575
1062314,TSLA,2024-04-12 11:30:00,171.07,170.83,173.45,172.42,5781665,51.18998898696163
1062316,TSLA,2024-04-12 10:30:00,171.31,170.67,171.55,171.07,5055552,43.75241828054438
1062318,TSLA,2024-04-12 09:30:00,170.6,170.51,171.78,171.3,6074690,44.819260235369136
1062320,TSLA,2024-04-12 08:30:00,171.54,170.36,171.8,170.6,7491874,40.921481438187335
1062322,TSLA,2024-04-12 07:30:00,172.51,171.43,172.95,171.56,6704112,44.80594504302087
1062324,TSLA,2024-04-12 06:30:00,171.92,171.29,172.64,172.49,9702369,48.82142949580511
1062326,TSLA,2024-04-12 05:30:00,172.34,171.71,173.81,171.92,18205143,46.16779362829598
1062328,TSLA,2024-04-11 11:30:00,174.93,174.1,175.88,174.17,7928042,56.700034096047226
1062330,TSLA,2024-04-11 10:30:00,174.98,174.01,175.29,174.93,10261246,60.908370721288236
